pic_name,bool_value,bool_gme,bool_gamestop,bool_investing,value_screenshot
w6h2tdt36jf61,False,False,False,True,2893.0
r2ewkrp7cdc61,True,False,False,False,303.0
bmez80y562e61,False,False,True,False,16180.0
0wgmob00q8y51,False,False,False,True,12417.0
1wia1ntg93161,True,False,False,False,64375.0
83wpxx7h7n661,False,False,False,True,50265.0
dxqrolhbc2e61,True,False,False,False,10295.0
4qlmc743y7061,True,False,False,False,1670.0
gs43677m10f61,False,False,False,True,406.0
yy6yc24dajd61,False,False,False,True,102277.0
qu4knln6hxe61,True,True,False,False,764.0
4yuk6auhaee61,False,True,True,False,1246.0
r9w9ydvav4e61,True,False,False,False,11498.0
ocj7e1azbje61,False,True,False,False,312.0
ewcen9o2kxc61,True,True,False,False,8749900.0
mm0ac5mk9xc61,False,True,False,False,2160.0
4gq20anl03f61,True,True,False,False,447.0
wc2fqo5243f61,False,False,False,True,2122.0
albx93tic2d61,False,True,False,False,1065.0
d4cwdntmy5e61,False,True,False,False,328.0
blqxn7jet3f61,True,True,False,False,16598.0
mqpkr7jr0zd61,True,False,False,False,5719.0
tho91c8n6we61,False,True,True,False,256.0
m07gen421ve61,False,False,False,True,10161.0
cz2e4rngkxe61,True,True,True,False,975.0
dzq6viq90sc61,True,True,False,False,220105.0
licur0lglyd61,True,False,False,False,10270.0
iz8hbm5r05f61,True,True,True,False,9672.0
07huz663bbf61,False,True,False,False,426.0
i5f4yk9jqwd61,True,False,False,False,626.0
xdojrae6rve61,True,False,False,False,16710.0
anlvg9tvqrc61,True,False,False,False,10234.0
k4jnk86h2n361,False,False,False,True,5667.0
zay723j0hif61,True,True,False,False,2134.0
w6qrozxytfb61,True,False,False,False,235500.0
j748zevhkvy51,False,False,False,True,2261.0
5dvi1nsbfoc61,False,True,False,False,1695.0
s586zbcul4f61,False,True,False,False,1892.0
dg1qfm34wbf61,False,True,False,False,894.0
r5df5y8ixg161,False,False,False,True,185373.0
oqxa88cqnve61,False,True,False,False,299.0
75mbx7cfi1f61,False,True,True,False,848.0
6btijmvkvwd61,True,False,False,False,8540.0
ixjE9Oa,False,True,False,False,401200.0
j79cjwcc8bf61,False,True,True,False,8041.0
7u45zcues2e61,True,True,True,False,56670.0
cxxqxxlk4wd61,False,True,False,False,4269.0
29skjbih33f61,True,True,False,False,221.0
x3jyxetqo2e61,False,False,True,False,469.0
npjc7eids7161,True,False,False,False,16513.0
znw7bwd3agd61,True,False,False,False,70474.0
gvgrhge943f61,True,False,False,False,6727.0
pxvd5rb28wd61,True,False,False,False,1423.0
bcv402tx64d61,False,True,False,False,115.0
guc09pyquwd61,True,False,False,False,723.0
4kchsgzw43e61,True,True,False,False,510139.0
5nllrfp0wu261,False,False,False,True,4420.0
3mc8c21qc4f61,False,True,True,False,350.0
74c2nwfrv2f61,False,False,False,True,40912.0
kvihx69ktoz51,True,False,False,False,424.0
wobkv71i4db61,False,False,False,True,11188.0
qbp7dk1xgxd61,False,False,False,True,25136.0
waj6flenkaf61,False,True,False,False,19554.0
ndfhh7aw0ze61,False,True,True,False,915.0
78ivybs73af61,False,True,False,False,367.0
foi6qqido5f61,False,True,True,False,1000.0
rgyvb65a1nz51,False,False,False,True,675.0
mg4egwu0l4a61,True,False,False,False,42069.0
fxzgt3vsu5f61,True,True,False,False,450.0
5ja941vj5ae61,True,False,False,False,384.0
y0ft4vbqmgf61,True,True,False,False,4774.0
4mu6f72a44f61,False,True,True,False,1545.0
tiysnijzpxe61,False,False,True,False,438.0
n1msiohq43f61,False,False,False,True,2426.0
zt4lnulj5ze61,True,True,False,False,5685.0
biui2tj0v4f61,True,True,False,False,8491.0
d22lfyxtm8f61,False,True,True,False,3071.0
ZHDeOT4,True,True,False,False,114.0
37qg81ay9ze61,True,True,True,False,15047.0
2mw7heesnl261,False,False,False,True,2470.0
flmot3buhbe61,False,False,True,False,304.0
2jbyuse5ol861,True,False,False,False,2099.0
cajbz2st84f61,True,True,True,False,9619.0
ra1i03gc9be61,False,True,True,False,341.0
ps6vgubnd3f61,False,True,True,False,320.0
1i19yrc9x6f61,False,False,False,True,367593.0
